,Departure,Price
0,2022-01-23,"1.178,31 Dkr"
1,2022-01-28,"308,77 Dkr"
2,2022-01-30,"359,07 Dkr"
3,2022-02-04,"366,00 Dkr"
4,2022-02-06,"206,00 Dkr"
5,2022-02-07,"286,00 Dkr"
6,2022-02-11,"691,82 Dkr"
7,2022-02-13,"520,28 Dkr"
8,2022-02-14,"486,00 Dkr"
9,2022-02-18,"593,65 Dkr"
10,2022-02-20,"453,21 Dkr"
11,2022-02-21,"523,21 Dkr"
12,2022-02-25,"191,12 Dkr"
13,2022-02-27,"189,00 Dkr"
14,2022-02-28,"189,00 Dkr"
15,2022-03-04,"549,07 Dkr"
16,2022-03-06,"319,00 Dkr"
17,2022-03-07,"329,23 Dkr"
18,2022-03-11,"449,23 Dkr"
19,2022-03-13,"289,23 Dkr"
20,2022-03-14,"279,07 Dkr"
21,2022-03-18,"329,23 Dkr"
22,2022-03-20,"319,07 Dkr"
23,2022-03-21,"409,07 Dkr"
24,2022-03-25,"479,07 Dkr"
25,2022-03-28,"319,07 Dkr"
26,2022-03-30,"1.089,07 Dkr"
27,2022-04-01,"719,07 Dkr"
28,2022-04-04,"523,21 Dkr"
29,2022-04-06,"629,07 Dkr"
30,2022-04-08,"1.439,07 Dkr"
31,2022-04-11,"1.178,31 Dkr"
32,2022-04-13,"684,82 Dkr"
33,2022-04-15,"1.030,87 Dkr"
34,2022-04-18,"449,23 Dkr"
35,2022-04-20,"356,21 Dkr"
36,2022-04-22,"573,18 Dkr"
37,2022-04-25,"479,07 Dkr"
38,2022-04-27,"379,23 Dkr"
39,2022-04-29,"371,79 Dkr"
40,2022-05-02,"386,67 Dkr"
41,2022-05-04,"441,79 Dkr"
42,2022-05-06,"895,98 Dkr"
43,2022-05-09,"446,21 Dkr"
44,2022-05-11,"446,21 Dkr"
45,2022-05-13,"584,35 Dkr"
46,2022-05-16,"516,21 Dkr"
47,2022-05-18,"409,07 Dkr"
48,2022-05-20,"788,89 Dkr"
