,Departure,Price
0,2021-11-29,"229,07 Dkr"
1,2021-12-03,"120,08 Dkr"
2,2021-12-06,"140,15 Dkr"
3,2021-12-10,"120,08 Dkr"
4,2021-12-13,"177,87 Dkr"
5,2021-12-17,"298,74 Dkr"
6,2021-12-20,"1.149,00 Dkr"
7,2021-12-24,"191,31 Dkr"
8,2021-12-27,"129,07 Dkr"
9,2021-12-31,"129,00 Dkr"
10,2022-01-03,"129,00 Dkr"
11,2022-01-07,"59,00 Dkr"
12,2022-01-10,"129,00 Dkr"
13,2022-01-14,"129,00 Dkr"
14,2022-01-17,"140,00 Dkr"
15,2022-01-21,"129,07 Dkr"
16,2022-01-24,"213,31 Dkr"
17,2022-01-28,"129,00 Dkr"
18,2022-01-31,"163,00 Dkr"
19,2022-02-04,"129,00 Dkr"
20,2022-02-07,"163,00 Dkr"
21,2022-02-11,"129,07 Dkr"
22,2022-02-14,"177,87 Dkr"
23,2022-02-18,"129,07 Dkr"
24,2022-02-21,"109,00 Dkr"
25,2022-02-25,"109,00 Dkr"
26,2022-02-28,"109,00 Dkr"
27,2022-03-04,"199,07 Dkr"
28,2022-03-07,"199,00 Dkr"
29,2022-03-11,"199,07 Dkr"
30,2022-03-14,"199,00 Dkr"
31,2022-03-18,"229,00 Dkr"
32,2022-03-21,"229,00 Dkr"
33,2022-03-25,"229,00 Dkr"
