,Departure,Price
0,2021-12-12,"709,07 Dkr"
1,2021-12-15,"79,00 Dkr"
2,2021-12-19,"907,07 Dkr"
3,2021-12-22,"790,36 Dkr"
4,2021-12-26,"914,07 Dkr"
5,2021-12-29,"265,74 Dkr"
6,2022-01-02,"363,18 Dkr"
7,2022-01-05,"129,07 Dkr"
8,2022-01-09,"163,87 Dkr"
9,2022-01-12,"99,07 Dkr"
10,2022-01-16,"99,07 Dkr"
11,2022-01-19,"129,07 Dkr"
12,2022-01-23,"99,07 Dkr"
13,2022-01-26,"99,07 Dkr"
14,2022-01-30,"99,07 Dkr"
15,2022-02-02,"109,00 Dkr"
16,2022-02-06,"103,20 Dkr"
17,2022-02-09,"109,07 Dkr"
18,2022-02-13,"109,07 Dkr"
19,2022-02-16,"129,07 Dkr"
20,2022-02-20,"129,07 Dkr"
21,2022-02-23,"109,07 Dkr"
22,2022-02-27,"109,07 Dkr"
23,2022-03-02,"179,10 Dkr"
24,2022-03-06,"199,07 Dkr"
25,2022-03-09,"229,00 Dkr"
26,2022-03-13,"319,07 Dkr"
27,2022-03-16,"229,00 Dkr"
28,2022-03-20,"229,00 Dkr"
29,2022-03-23,"229,00 Dkr"
30,2022-03-27,"152,10 Dkr"
31,2022-03-30,"199,07 Dkr"
32,2022-04-01,"199,07 Dkr"
33,2022-04-03,"258,74 Dkr"
34,2022-04-06,"179,10 Dkr"
35,2022-04-08,"199,00 Dkr"
36,2022-04-10,"319,07 Dkr"
