,Departure,Price
0,2022-01-08,"129,00 Dkr"
1,2022-01-11,"129,00 Dkr"
2,2022-01-15,"129,07 Dkr"
3,2022-01-18,"129,00 Dkr"
4,2022-01-22,"129,00 Dkr"
5,2022-01-25,"129,07 Dkr"
6,2022-01-29,"129,00 Dkr"
7,2022-02-01,"229,07 Dkr"
8,2022-02-05,"189,07 Dkr"
9,2022-02-08,"407,00 Dkr"
10,2022-02-12,"709,07 Dkr"
11,2022-02-15,"286,69 Dkr"
12,2022-02-19,"189,07 Dkr"
13,2022-02-22,"169,00 Dkr"
14,2022-02-26,"169,07 Dkr"
15,2022-03-01,"649,52 Dkr"
16,2022-03-05,"245,21 Dkr"
17,2022-03-08,"177,85 Dkr"
18,2022-03-12,"189,07 Dkr"
19,2022-03-15,"177,85 Dkr"
20,2022-03-19,"215,69 Dkr"
21,2022-03-22,"251,15 Dkr"
22,2022-03-26,"215,69 Dkr"
23,2022-03-28,"269,07 Dkr"
24,2022-04-01,"709,07 Dkr"
25,2022-04-04,"359,07 Dkr"
26,2022-04-08,"1.168,23 Dkr"
27,2022-04-11,"809,07 Dkr"
28,2022-04-15,"847,21 Dkr"
29,2022-04-18,"709,07 Dkr"
30,2022-04-22,"674,77 Dkr"
31,2022-04-25,"583,61 Dkr"
32,2022-04-29,"409,07 Dkr"
33,2022-05-02,"371,82 Dkr"
34,2022-05-06,"329,26 Dkr"
