,Departure,Price
0,2021-11-21,"459,07 Dkr"
1,2021-11-22,"180,08 Dkr"
2,2021-11-26,"332,46 Dkr"
3,2021-11-28,"241,31 Dkr"
4,2021-11-29,"170,15 Dkr"
5,2021-12-03,"774,38 Dkr"
6,2021-12-05,"109,00 Dkr"
7,2021-12-06,"109,00 Dkr"
8,2021-12-10,"470,18 Dkr"
9,2021-12-12,"109,07 Dkr"
10,2021-12-13,"109,00 Dkr"
11,2021-12-17,"470,18 Dkr"
12,2021-12-19,"584,77 Dkr"
13,2021-12-20,"529,07 Dkr"
14,2021-12-24,"339,07 Dkr"
15,2021-12-26,"503,62 Dkr"
16,2021-12-27,"376,18 Dkr"
17,2021-12-31,"189,07 Dkr"
18,2022-01-02,"278,75 Dkr"
19,2022-01-03,"189,00 Dkr"
20,2022-01-07,"219,00 Dkr"
21,2022-01-09,"99,00 Dkr"
22,2022-01-10,"99,07 Dkr"
23,2022-01-14,"249,07 Dkr"
24,2022-01-16,"189,07 Dkr"
25,2022-01-17,"159,07 Dkr"
26,2022-01-21,"99,07 Dkr"
27,2022-01-23,"99,07 Dkr"
28,2022-01-24,"159,07 Dkr"
29,2022-01-28,"189,07 Dkr"
30,2022-01-30,"159,07 Dkr"
31,2022-01-31,"99,07 Dkr"
32,2022-02-04,"389,07 Dkr"
33,2022-02-06,"149,07 Dkr"
34,2022-02-07,"149,00 Dkr"
35,2022-02-11,"299,07 Dkr"
36,2022-02-13,"149,07 Dkr"
37,2022-02-14,"149,07 Dkr"
38,2022-02-18,"249,07 Dkr"
39,2022-02-20,"149,07 Dkr"
40,2022-02-21,"149,07 Dkr"
41,2022-02-25,"159,07 Dkr"
42,2022-02-27,"149,07 Dkr"
43,2022-02-28,"149,00 Dkr"
44,2022-03-04,"389,07 Dkr"
45,2022-03-06,"219,00 Dkr"
46,2022-03-07,"219,00 Dkr"
47,2022-03-11,"299,00 Dkr"
48,2022-03-13,"249,00 Dkr"
49,2022-03-14,"219,07 Dkr"
50,2022-03-18,"339,07 Dkr"
51,2022-03-20,"249,00 Dkr"
