,Departure,Price
0,2021-11-28,"269,00 Dkr"
1,2021-12-01,"79,00 Dkr"
2,2021-12-05,"79,00 Dkr"
3,2021-12-08,"493,62 Dkr"
4,2021-12-12,"249,07 Dkr"
5,2021-12-15,"79,00 Dkr"
6,2021-12-19,"329,07 Dkr"
7,2021-12-22,"1.188,23 Dkr"
8,2021-12-26,"189,07 Dkr"
9,2021-12-29,"189,07 Dkr"
10,2022-01-02,"819,00 Dkr"
11,2022-01-05,"189,00 Dkr"
12,2022-01-09,"209,00 Dkr"
13,2022-01-12,"109,00 Dkr"
14,2022-01-16,"109,07 Dkr"
15,2022-01-19,"109,07 Dkr"
16,2022-01-23,"109,00 Dkr"
17,2022-01-26,"609,00 Dkr"
18,2022-01-30,"289,00 Dkr"
19,2022-02-02,"129,00 Dkr"
20,2022-02-06,"159,00 Dkr"
21,2022-02-09,"189,07 Dkr"
22,2022-02-13,"2.494,00 Dkr"
23,2022-02-16,"159,00 Dkr"
24,2022-02-20,"668,49 Dkr"
25,2022-02-23,"129,00 Dkr"
26,2022-02-27,"231,31 Dkr"
27,2022-03-02,"209,00 Dkr"
28,2022-03-06,"584,77 Dkr"
29,2022-03-09,"329,07 Dkr"
30,2022-03-13,"329,07 Dkr"
31,2022-03-16,"584,77 Dkr"
32,2022-03-20,"289,07 Dkr"
33,2022-03-23,"159,07 Dkr"
