,Departure,Price
0,2021-11-07,"344,94 €"
1,2021-11-09,"175,79 €"
2,2021-11-11,"88,49 €"
3,2021-11-13,"57,99 €"
4,2021-11-14,"132,79 €"
5,2021-11-16,"115,99 €"
6,2021-11-18,"86,59 €"
7,2021-11-20,"115,99 €"
8,2021-11-21,"155,80 €"
9,2021-11-23,"67,40 €"
10,2021-11-25,"74,99 €"
11,2021-11-27,"47,00 €"
12,2021-11-28,"187,00 €"
13,2021-11-30,"47,00 €"
14,2021-12-02,"178,59 €"
15,2021-12-04,"215,00 €"
16,2021-12-05,"114,19 €"
17,2021-12-07,"49,99 €"
18,2021-12-09,"22,49 €"
19,2021-12-11,"14,99 €"
20,2021-12-12,"14,99 €"
21,2021-12-14,"14,99 €"
22,2021-12-16,"23,99 €"
23,2021-12-18,"35,99 €"
24,2021-12-19,"36,00 €"
25,2021-12-21,"46,99 €"
26,2021-12-23,"80,99 €"
27,2021-12-26,"81,00 €"
28,2021-12-28,"106,99 €"
29,2021-12-30,"141,99 €"
30,2022-01-01,"153,49 €"
31,2022-01-02,"267,99 €"
32,2022-01-04,"153,49 €"
33,2022-01-06,"142,00 €"
34,2022-01-08,"133,99 €"
35,2022-01-09,"174,99 €"
36,2022-01-11,"88,49 €"
37,2022-01-13,"13,00 €"
38,2022-01-15,"24,00 €"
39,2022-01-16,"24,00 €"
40,2022-01-18,"12,99 €"
41,2022-01-20,"13,00 €"
42,2022-01-22,"24,00 €"
43,2022-01-23,"24,00 €"
44,2022-01-25,"13,00 €"
45,2022-01-27,"24,00 €"
46,2022-01-29,"13,00 €"
47,2022-01-30,"13,00 €"
48,2022-02-01,"35,99 €"
49,2022-02-03,"35,99 €"
50,2022-02-05,"29,99 €"
51,2022-02-06,"54,00 €"
52,2022-02-08,"35,99 €"
53,2022-02-10,"51,99 €"
54,2022-02-12,"35,99 €"
55,2022-02-13,"53,99 €"
56,2022-02-15,"35,99 €"
57,2022-02-17,"36,00 €"
58,2022-02-19,"35,99 €"
59,2022-02-20,"88,49 €"
60,2022-02-22,"35,99 €"
61,2022-02-24,"51,99 €"
62,2022-02-26,"58,99 €"
63,2022-02-27,"62,00 €"
64,2022-03-01,"35,99 €"
65,2022-03-03,"35,99 €"
66,2022-03-05,"29,99 €"
67,2022-03-06,"62,00 €"
