,Departure,Price
0,2021-11-04,"439,24 Dkr"
1,2021-11-06,"185,52 Dkr"
2,2021-11-07,"271,80 Dkr"
3,2021-11-09,"663,29 Dkr"
4,2021-11-11,"1.007,74 Dkr"
5,2021-11-13,"279,24 Dkr"
6,2021-11-14,"699,07 Dkr"
7,2021-11-16,"286,68 Dkr"
8,2021-11-18,"817,52 Dkr"
9,2021-11-20,"201,15 Dkr"
10,2021-11-21,"469,07 Dkr"
11,2021-11-23,"319,24 Dkr"
12,2021-11-25,"609,07 Dkr"
13,2021-11-27,"269,07 Dkr"
14,2021-11-28,"575,52 Dkr"
15,2021-11-30,"219,07 Dkr"
16,2021-12-02,"251,15 Dkr"
17,2021-12-04,"241,32 Dkr"
18,2021-12-05,"311,80 Dkr"
19,2021-12-07,"758,52 Dkr"
20,2021-12-09,"919,07 Dkr"
21,2021-12-11,"1.308,27 Dkr"
22,2021-12-12,"1.059,07 Dkr"
23,2021-12-14,"865,95 Dkr"
24,2021-12-16,"1.144,55 Dkr"
25,2021-12-18,"1.503,15 Dkr"
26,2021-12-19,"1.503,15 Dkr"
27,2021-12-21,"1.599,00 Dkr"
28,2021-12-23,"2.284,00 Dkr"
29,2021-12-26,"1.144,55 Dkr"
30,2021-12-28,"1.219,07 Dkr"
31,2021-12-30,"1.000,83 Dkr"
32,2022-01-01,"529,00 Dkr"
33,2022-01-02,"529,00 Dkr"
34,2022-01-04,"469,00 Dkr"
35,2022-01-06,"469,00 Dkr"
36,2022-01-08,"469,00 Dkr"
37,2022-01-09,"349,07 Dkr"
38,2022-01-11,"242,10 Dkr"
39,2022-01-13,"242,10 Dkr"
40,2022-01-15,"269,00 Dkr"
41,2022-01-16,"409,00 Dkr"
42,2022-01-18,"242,10 Dkr"
43,2022-01-20,"269,07 Dkr"
44,2022-01-22,"269,07 Dkr"
45,2022-01-23,"349,07 Dkr"
46,2022-01-25,"242,10 Dkr"
47,2022-01-27,"242,10 Dkr"
48,2022-01-29,"269,07 Dkr"
49,2022-01-30,"349,07 Dkr"
50,2022-02-01,"269,00 Dkr"
51,2022-02-03,"269,07 Dkr"
52,2022-02-05,"386,20 Dkr"
53,2022-02-06,"609,00 Dkr"
54,2022-02-08,"269,00 Dkr"
55,2022-02-10,"386,20 Dkr"
56,2022-02-12,"446,20 Dkr"
57,2022-02-13,"409,07 Dkr"
58,2022-02-15,"269,00 Dkr"
59,2022-02-17,"269,00 Dkr"
60,2022-02-19,"309,07 Dkr"
61,2022-02-20,"409,00 Dkr"
62,2022-02-22,"269,00 Dkr"
63,2022-02-24,"269,00 Dkr"
64,2022-02-26,"269,00 Dkr"
65,2022-02-27,"609,00 Dkr"
66,2022-03-01,"386,20 Dkr"
67,2022-03-03,"309,07 Dkr"
