,Departure,Price
0,2021-11-15,"2.284,07 Dkr"
1,2021-11-18,"116,44 Dkr"
2,2021-11-19,"211,31 Dkr"
3,2021-11-20,"211,31 Dkr"
4,2021-11-21,"211,31 Dkr"
5,2021-11-22,"255,03 Dkr"
6,2021-11-25,"143,87 Dkr"
7,2021-11-26,"191,31 Dkr"
8,2021-11-27,"86,00 Dkr"
9,2021-11-28,"281,03 Dkr"
10,2021-11-29,"396,19 Dkr"
11,2021-12-02,"79,07 Dkr"
12,2021-12-03,"79,00 Dkr"
13,2021-12-04,"79,07 Dkr"
14,2021-12-05,"109,07 Dkr"
15,2021-12-06,"298,75 Dkr"
16,2021-12-09,"79,07 Dkr"
17,2021-12-10,"109,07 Dkr"
18,2021-12-11,"109,07 Dkr"
19,2021-12-12,"346,19 Dkr"
20,2021-12-13,"396,19 Dkr"
