,Departure,Price
0,2021-11-15,"278,99 Dkr"
1,2021-11-16,"241,31 Dkr"
2,2021-11-17,"241,31 Dkr"
3,2021-11-18,"170,16 Dkr"
4,2021-11-19,"249,07 Dkr"
5,2021-11-20,"249,07 Dkr"
6,2021-11-21,"495,53 Dkr"
7,2021-11-22,"231,15 Dkr"
8,2021-11-23,"278,75 Dkr"
9,2021-11-24,"99,07 Dkr"
10,2021-11-25,"177,10 Dkr"
11,2021-11-26,"219,07 Dkr"
12,2021-11-27,"189,07 Dkr"
13,2021-11-28,"709,07 Dkr"
14,2021-11-29,"529,07 Dkr"
15,2021-11-30,"249,07 Dkr"
16,2021-12-01,"152,38 Dkr"
17,2021-12-02,"201,15 Dkr"
18,2021-12-03,"219,07 Dkr"
19,2021-12-04,"241,31 Dkr"
20,2021-12-05,"299,07 Dkr"
21,2021-12-06,"619,07 Dkr"
22,2021-12-07,"278,75 Dkr"
23,2021-12-08,"332,47 Dkr"
24,2021-12-09,"189,07 Dkr"
25,2021-12-10,"147,84 Dkr"
26,2021-12-11,"241,31 Dkr"
27,2021-12-12,"503,62 Dkr"
28,2021-12-13,"459,07 Dkr"
29,2021-12-14,"389,07 Dkr"
