,Departure,Price
0,2021-11-15,"268,75 Dkr"
1,2021-11-17,"99,00 Dkr"
2,2021-11-18,"99,00 Dkr"
3,2021-11-19,"167,10 Dkr"
4,2021-11-20,"99,00 Dkr"
5,2021-11-21,"268,75 Dkr"
6,2021-11-22,"140,08 Dkr"
7,2021-11-24,"1.014,53 Dkr"
8,2021-11-25,"149,07 Dkr"
9,2021-11-26,"99,00 Dkr"
10,2021-11-27,"99,00 Dkr"
11,2021-11-28,"221,15 Dkr"
12,2021-11-29,"209,07 Dkr"
13,2021-12-01,"99,00 Dkr"
14,2021-12-02,"99,00 Dkr"
15,2021-12-03,"99,00 Dkr"
16,2021-12-04,"99,00 Dkr"
17,2021-12-05,"231,31 Dkr"
18,2021-12-06,"99,07 Dkr"
19,2021-12-08,"99,00 Dkr"
20,2021-12-09,"99,07 Dkr"
21,2021-12-10,"99,00 Dkr"
22,2021-12-11,"99,07 Dkr"
23,2021-12-12,"416,19 Dkr"
24,2021-12-13,"99,00 Dkr"
